tick,ordens,transacoes,volume,preco_medio,ultimo_preco
0,59,26,5434.00,102.5283018867924528301886792,102.00
1,63,41,8146.00,101.825,103.00
2,64,34,6518.00,101.84375,101.00
3,58,43,7336.00,101.8888888888888888888888889,101.00
4,64,32,5839.00,102.4385964912280701754385965,102.00
5,68,43,6750.00,102.2727272727272727272727273,103.00
6,71,50,9371.00,101.8586956521739130434782609,102.00
7,64,36,6201.00,101.6557377049180327868852459,102.00
8,70,38,6831.00,101.9552238805970149253731343,103.00
9,64,46,8354.00,101.8780487804878048780487805,103.00
10,61,44,7999.00,101.2531645569620253164556962,100.00
11,61,38,6800.00,101.4925373134328358208955224,101.00
12,64,39,7081.00,101.1571428571428571428571429,101.00
13,71,45,8692.00,101.0697674418604651162790698,101.00
14,64,51,8712.00,101.3023255813953488372093023,103.00
15,65,53,8777.00,100.8850574712643678160919540,102.00
16,69,57,10003.00,101.0404040404040404040404040,100.00
17,70,60,10419.00,101.1553398058252427184466019,100.00
18,60,36,6845.00,102.1641791044776119402985075,103.00
19,64,46,7542.00,101.9189189189189189189189189,102.00
20,60,44,8070.00,100.875,100.00
21,65,37,7130.00,101.8571428571428571428571429,100.00
22,66,46,9516.00,102.3225806451612903225806452,102.00
23,71,59,10219.00,101.1782178217821782178217822,103.00
24,53,41,6891.00,101.3382352941176470588235294,100.00
25,69,56,10079.00,100.79,100.00
26,59,36,7352.00,100.7123287671232876712328767,101.00
27,67,50,9311.00,101.2065217391304347826086957,103.00
28,61,51,9630.00,101.3684210526315789473684211,103.00
29,69,54,10099.00,100.99,100.00
30,64,34,6188.00,101.4426229508196721311475410,101.00
31,62,52,9849.00,100.50,100.00
32,69,43,8088.00,101.10,102.00
33,70,51,9792.00,102.00,102.00
34,61,46,8184.00,101.0370370370370370370370370,101.00
35,69,44,8141.00,100.5061728395061728395061728,101.00
36,72,49,8489.00,101.0595238095238095238095238,100.00
37,66,44,8120.00,100.2469135802469135802469136,100.00
38,58,35,5552.00,100.9454545454545454545454545,101.00
39,59,33,5548.00,100.8727272727272727272727273,100.00
40,59,40,6766.00,100.9850746268656716417910448,103.00
41,65,44,7376.00,101.0410958904109589041095890,101.00
42,62,38,6370.00,101.1111111111111111111111111,100.00
43,74,46,8109.00,101.3625,102.00
44,69,51,9847.00,100.4795918367346938775510204,101.00
45,67,38,6658.00,100.8787878787878787878787879,102.00
46,67,43,7824.00,101.6103896103896103896103896,103.00
47,63,44,7770.00,100.9090909090909090909090909,99.00
48,68,48,8788.00,101.0114942528735632183908046,99.00
49,63,45,8871.00,100.8068181818181818181818182,101.00
50,70,59,9979.00,100.7979797979797979797979798,100.00
51,74,54,8956.00,100.6292134831460674157303371,102.00
52,57,37,5774.00,101.2982456140350877192982456,103.00
53,67,49,10048.00,101.4949494949494949494949495,103.00
54,66,48,7687.00,101.1447368421052631578947368,102.00
55,56,32,5609.00,101.9818181818181818181818182,102.00
56,72,48,8727.00,101.4767441860465116279069767,100.00
57,70,35,6074.00,101.2333333333333333333333333,101.00
58,56,41,7282.00,101.1388888888888888888888889,101.00
59,56,41,7341.00,100.5616438356164383561643836,100.00
60,67,49,9258.00,101.7362637362637362637362637,100.00
61,61,43,7706.00,101.3947368421052631578947368,103.00
62,64,32,5257.00,101.0961538461538461538461538,101.00
63,64,44,8037.00,100.4625,100.00
64,65,52,9158.00,100.6373626373626373626373626,101.00
65,66,47,7985.00,99.8125,102.00
66,68,51,9382.00,99.80851063829787234042553191,99.00
67,65,38,6035.00,100.5833333333333333333333333,99.00
68,57,38,7161.00,100.8591549295774647887323944,100.00
69,70,48,8612.00,101.3176470588235294117647059,101.00
70,57,38,7042.00,100.60,99.00
71,65,44,7135.00,100.4929577464788732394366197,100.00
72,62,41,8254.00,100.6585365853658536585365854,102.00
73,64,46,8694.00,101.0930232558139534883720930,102.00
74,64,50,8657.00,100.6627906976744186046511628,102.00
75,65,41,7758.00,100.7532467532467532467532468,101.00
76,56,39,7547.00,100.6266666666666666666666667,99.00
77,54,30,5132.00,100.6274509803921568627450980,101.00
78,63,35,7166.00,100.9295774647887323943661972,103.00
79,61,35,6761.00,100.9104477611940298507462687,102.00
80,66,53,10346.00,101.4313725490196078431372549,100.00
81,59,44,7791.00,101.1818181818181818181818182,101.00
82,64,44,8120.00,100.2469135802469135802469136,99.00
83,68,56,8421.00,100.25,99.00
84,65,34,5927.00,100.4576271186440677966101695,102.00
85,63,46,8673.00,100.8488372093023255813953488,99.00
